#,x_cen,y_cen,Cluster,x1,y1,x2,y2,x3,y3,x4,y4,nombre_imagen
99,340,295,11,302,270,302,320,378,320,378,270,2013-02-22_07_35_01
100,294,243,18,264,223,264,263,325,263,325,223,2013-02-22_07_35_01
101,265,207,16,232,190,232,224,298,224,298,190,2013-02-22_07_35_01
102,365,218,8,329,198,329,237,401,237,401,198,2013-02-22_07_35_01
103,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_07_35_01
104,215,115,3,188,103,188,128,242,128,242,103,2013-02-22_07_35_01
105,222,137,12,194,122,194,153,251,153,251,122,2013-02-22_07_35_01
106,323,180,10,292,163,292,197,353,197,353,163,2013-02-22_07_35_01
107,257,100,5,233,87,233,112,281,112,281,87,2013-02-22_07_35_01
108,278,122,14,253,109,253,134,302,134,302,109,2013-02-22_07_35_01
109,196,92,19,173,81,173,103,219,103,219,81,2013-02-22_07_35_01
110,307,150,13,281,136,281,164,334,164,334,136,2013-02-22_07_35_01
111,178,68,17,156,55,156,81,200,81,200,55,2013-02-22_07_35_01
112,238,76,7,217,65,217,86,259,86,259,65,2013-02-22_07_35_01
113,170,52,6,149,41,149,64,190,64,190,41,2013-02-22_07_35_01
114,227,57,9,205,48,205,67,249,67,249,48,2013-02-22_07_35_01
115,159,34,1,141,25,141,43,177,43,177,25,2013-02-22_07_35_01
116,392,263,4,354,241,354,286,431,286,431,241,2013-02-22_07_40_01
117,340,296,11,302,270,302,323,378,323,378,270,2013-02-22_07_40_01
118,222,137,12,194,122,194,153,250,153,250,122,2013-02-22_07_40_01
119,294,243,18,264,223,264,262,325,262,325,223,2013-02-22_07_40_01
120,213,115,3,188,103,188,128,238,128,238,103,2013-02-22_07_40_01
121,266,207,16,233,190,233,224,298,224,298,190,2013-02-22_07_40_01
122,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_07_40_01
123,365,218,8,329,198,329,237,401,237,401,198,2013-02-22_07_40_01
124,317,325,20,286,303,286,347,348,347,348,303,2013-02-22_07_40_01
125,324,180,10,293,163,293,196,354,196,354,163,2013-02-22_07_40_01
126,257,100,5,233,87,233,112,281,112,281,87,2013-02-22_07_40_01
127,196,91,19,173,80,173,102,219,102,219,80,2013-02-22_07_40_01
128,278,122,14,253,109,253,134,302,134,302,109,2013-02-22_07_40_01
129,308,150,13,281,136,281,164,334,164,334,136,2013-02-22_07_40_01
130,178,68,17,156,56,156,81,200,81,200,56,2013-02-22_07_40_01
131,170,52,6,149,41,149,64,191,64,191,41,2013-02-22_07_40_01
132,237,76,7,215,65,215,87,259,87,259,65,2013-02-22_07_40_01
133,227,57,9,205,48,205,67,250,67,250,48,2013-02-22_07_40_01
134,159,34,1,141,25,141,43,178,43,178,25,2013-02-22_07_40_01
135,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_07_45_01
136,317,324,20,286,303,286,346,348,346,348,303,2013-02-22_07_45_01
137,340,295,11,302,269,302,321,378,321,378,269,2013-02-22_07_45_01
138,222,137,12,194,122,194,152,249,152,249,122,2013-02-22_07_45_01
139,294,243,18,264,223,264,263,325,263,325,223,2013-02-22_07_45_01
140,213,115,3,189,102,189,128,237,128,237,102,2013-02-22_07_45_01
141,365,218,8,329,199,329,237,401,237,401,199,2013-02-22_07_45_01
142,259,169,0,219,153,219,184,300,184,300,153,2013-02-22_07_45_01
143,265,207,16,232,190,232,224,298,224,298,190,2013-02-22_07_45_01
144,325,180,10,294,163,294,196,355,196,355,163,2013-02-22_07_45_01
145,257,100,5,233,87,233,112,280,112,280,87,2013-02-22_07_45_01
146,278,122,14,253,110,253,134,302,134,302,110,2013-02-22_07_45_01
147,307,150,13,281,136,281,163,334,163,334,136,2013-02-22_07_45_01
148,196,92,19,173,80,173,103,219,103,219,80,2013-02-22_07_45_01
149,178,68,17,156,55,156,81,200,81,200,55,2013-02-22_07_45_01
150,238,76,7,217,65,217,87,260,87,260,65,2013-02-22_07_45_01
151,227,57,9,205,48,205,67,250,67,250,48,2013-02-22_07_45_01
152,170,52,6,149,41,149,62,191,62,191,41,2013-02-22_07_45_01
153,193,12,15,175,4,175,20,212,20,212,4,2013-02-22_07_45_01
154,159,34,1,141,25,141,43,178,43,178,25,2013-02-22_07_45_01
155,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_07_50_01
156,317,324,20,286,303,286,346,348,346,348,303,2013-02-22_07_50_01
157,340,296,11,302,270,302,322,378,322,378,270,2013-02-22_07_50_01
158,294,243,18,264,223,264,263,325,263,325,223,2013-02-22_07_50_01
159,222,137,12,194,122,194,153,249,153,249,122,2013-02-22_07_50_01
160,213,115,3,189,102,189,128,237,128,237,102,2013-02-22_07_50_01
161,365,218,8,329,199,329,237,401,237,401,199,2013-02-22_07_50_01
162,265,207,16,233,190,233,223,298,223,298,190,2013-02-22_07_50_01
163,259,169,0,219,153,219,184,300,184,300,153,2013-02-22_07_50_01
164,324,180,10,294,163,294,196,355,196,355,163,2013-02-22_07_50_01
165,278,121,14,253,110,253,133,302,133,302,110,2013-02-22_07_50_01
166,307,150,13,281,136,281,163,334,163,334,136,2013-02-22_07_50_01
167,257,100,5,233,87,233,112,281,112,281,87,2013-02-22_07_50_01
168,178,68,17,156,56,156,81,200,81,200,56,2013-02-22_07_50_01
169,197,92,19,173,80,173,103,220,103,220,80,2013-02-22_07_50_01
170,238,76,7,217,65,217,86,259,86,259,65,2013-02-22_07_50_01
171,170,52,6,149,41,149,64,191,64,191,41,2013-02-22_07_50_01
172,227,57,9,205,48,205,67,250,67,250,48,2013-02-22_07_50_01
173,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_07_55_02
174,317,325,20,286,303,286,346,348,346,348,303,2013-02-22_07_55_02
175,340,297,11,302,270,302,323,378,323,378,270,2013-02-22_07_55_02
176,294,243,18,264,223,264,263,325,263,325,223,2013-02-22_07_55_02
177,222,138,12,194,122,194,153,250,153,250,122,2013-02-22_07_55_02
178,213,115,3,189,102,189,128,237,128,237,102,2013-02-22_07_55_02
179,265,207,16,233,190,233,224,298,224,298,190,2013-02-22_07_55_02
180,365,218,8,329,199,329,238,401,238,401,199,2013-02-22_07_55_02
181,259,169,0,219,153,219,184,300,184,300,153,2013-02-22_07_55_02
182,325,180,10,294,163,294,196,355,196,355,163,2013-02-22_07_55_02
183,278,121,14,254,110,254,133,302,133,302,110,2013-02-22_07_55_02
184,257,100,5,233,87,233,112,281,112,281,87,2013-02-22_07_55_02
185,178,68,17,156,55,156,81,200,81,200,55,2013-02-22_07_55_02
186,307,150,13,281,136,281,163,334,163,334,136,2013-02-22_07_55_02
187,196,92,19,173,80,173,103,219,103,219,80,2013-02-22_07_55_02
188,238,76,7,217,65,217,86,260,86,260,65,2013-02-22_07_55_02
189,170,53,6,149,41,149,64,191,64,191,41,2013-02-22_07_55_02
190,227,57,9,205,48,205,67,250,67,250,48,2013-02-22_07_55_02
191,392,264,4,354,242,354,286,431,286,431,242,2013-02-22_08_00_02
192,317,324,20,286,303,286,346,348,346,348,303,2013-02-22_08_00_02
193,340,296,11,302,270,302,322,378,322,378,270,2013-02-22_08_00_02
194,222,137,12,194,122,194,153,249,153,249,122,2013-02-22_08_00_02
195,294,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_00_02
196,213,115,3,189,103,189,128,237,128,237,103,2013-02-22_08_00_02
197,265,207,16,233,190,233,224,298,224,298,190,2013-02-22_08_00_02
198,365,218,8,329,199,329,237,401,237,401,199,2013-02-22_08_00_02
199,325,180,10,295,163,295,196,355,196,355,163,2013-02-22_08_00_02
200,259,169,0,219,153,219,184,299,184,299,153,2013-02-22_08_00_02
201,278,121,14,253,110,253,133,302,133,302,110,2013-02-22_08_00_02
202,308,150,13,281,136,281,163,334,163,334,136,2013-02-22_08_00_02
203,257,100,5,233,87,233,112,281,112,281,87,2013-02-22_08_00_02
204,178,68,17,156,56,156,81,200,81,200,56,2013-02-22_08_00_02
205,196,92,19,173,81,173,103,219,103,219,81,2013-02-22_08_00_02
206,238,76,7,217,65,217,87,259,87,259,65,2013-02-22_08_00_02
207,170,52,6,149,41,149,64,192,64,192,41,2013-02-22_08_00_02
208,227,57,9,205,48,205,67,250,67,250,48,2013-02-22_08_00_02
209,392,264,4,354,242,354,286,431,286,431,242,2013-02-22_08_05_02
210,317,325,20,286,304,286,346,348,346,348,304,2013-02-22_08_05_02
211,340,297,11,302,270,302,323,378,323,378,270,2013-02-22_08_05_02
212,294,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_05_02
213,222,138,12,194,122,194,153,250,153,250,122,2013-02-22_08_05_02
214,213,115,3,189,103,189,128,237,128,237,103,2013-02-22_08_05_02
215,365,218,8,329,199,329,238,401,238,401,199,2013-02-22_08_05_02
216,265,206,16,232,190,232,223,298,223,298,190,2013-02-22_08_05_02
217,325,180,10,295,164,295,197,355,197,355,164,2013-02-22_08_05_02
218,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_08_05_02
219,257,100,5,233,88,233,112,281,112,281,88,2013-02-22_08_05_02
220,278,122,14,253,110,253,134,302,134,302,110,2013-02-22_08_05_02
221,308,150,13,281,137,281,163,334,163,334,137,2013-02-22_08_05_02
222,196,92,19,173,81,173,103,220,103,220,81,2013-02-22_08_05_02
223,178,69,17,156,56,156,82,200,82,200,56,2013-02-22_08_05_02
224,238,76,7,216,65,216,87,259,87,259,65,2013-02-22_08_05_02
225,170,53,6,150,41,150,64,191,64,191,41,2013-02-22_08_05_02
226,227,58,9,205,48,205,67,250,67,250,48,2013-02-22_08_05_02
227,193,12,15,175,4,175,21,212,21,212,4,2013-02-22_08_05_02
228,160,35,1,141,25,141,44,179,44,179,25,2013-02-22_08_05_02
229,392,264,4,354,242,354,286,431,286,431,242,2013-02-22_08_10_02
230,317,325,20,286,304,286,346,348,346,348,304,2013-02-22_08_10_02
231,340,297,11,302,270,302,323,378,323,378,270,2013-02-22_08_10_02
232,222,138,12,194,122,194,153,249,153,249,122,2013-02-22_08_10_02
233,294,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_10_02
234,213,115,3,188,103,188,128,237,128,237,103,2013-02-22_08_10_02
235,266,206,16,233,190,233,223,299,223,299,190,2013-02-22_08_10_02
236,365,218,8,329,199,329,238,401,238,401,199,2013-02-22_08_10_02
237,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_08_10_02
238,324,180,10,293,163,293,197,355,197,355,163,2013-02-22_08_10_02
239,257,100,5,233,87,233,112,281,112,281,87,2013-02-22_08_10_02
240,277,122,14,253,110,253,134,302,134,302,110,2013-02-22_08_10_02
241,196,92,19,173,81,173,103,219,103,219,81,2013-02-22_08_10_02
242,178,69,17,156,56,156,82,200,82,200,56,2013-02-22_08_10_02
243,307,150,13,281,137,281,164,334,164,334,137,2013-02-22_08_10_02
244,238,76,7,216,65,216,87,259,87,259,65,2013-02-22_08_10_02
245,170,53,6,149,41,149,65,191,65,191,41,2013-02-22_08_10_02
246,227,58,9,204,48,204,67,249,67,249,48,2013-02-22_08_10_02
247,159,35,1,141,25,141,44,178,44,178,25,2013-02-22_08_10_02
248,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_08_15_02
249,316,325,20,285,303,285,346,347,346,347,303,2013-02-22_08_15_02
250,340,296,11,302,270,302,322,378,322,378,270,2013-02-22_08_15_02
251,294,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_15_02
252,222,138,12,194,122,194,153,249,153,249,122,2013-02-22_08_15_02
253,265,207,16,232,190,232,224,298,224,298,190,2013-02-22_08_15_02
254,365,218,8,329,199,329,238,401,238,401,199,2013-02-22_08_15_02
255,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_08_15_02
256,213,115,3,188,102,188,128,237,128,237,102,2013-02-22_08_15_02
257,323,180,10,293,163,293,197,353,197,353,163,2013-02-22_08_15_02
258,278,122,14,254,110,254,134,302,134,302,110,2013-02-22_08_15_02
259,257,100,5,233,87,233,112,281,112,281,87,2013-02-22_08_15_02
260,308,150,13,281,137,281,163,334,163,334,137,2013-02-22_08_15_02
261,178,68,17,156,55,156,81,201,81,201,55,2013-02-22_08_15_02
262,196,92,19,173,81,173,103,220,103,220,81,2013-02-22_08_15_02
263,238,76,7,216,65,216,87,259,87,259,65,2013-02-22_08_15_02
264,170,52,6,149,41,149,64,190,64,190,41,2013-02-22_08_15_02
265,227,58,9,204,48,204,67,249,67,249,48,2013-02-22_08_15_02
266,392,264,4,354,242,354,286,431,286,431,242,2013-02-22_08_20_02
267,340,296,11,303,270,303,322,378,322,378,270,2013-02-22_08_20_02
268,317,325,20,286,303,286,346,348,346,348,303,2013-02-22_08_20_02
269,295,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_20_02
270,222,138,12,194,122,194,153,249,153,249,122,2013-02-22_08_20_02
271,365,218,8,329,199,329,238,401,238,401,199,2013-02-22_08_20_02
272,265,206,16,231,190,231,223,298,223,298,190,2013-02-22_08_20_02
273,213,115,3,189,102,189,127,237,127,237,102,2013-02-22_08_20_02
274,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_08_20_02
275,324,180,10,294,163,294,197,354,197,354,163,2013-02-22_08_20_02
276,257,100,5,233,88,233,112,281,112,281,88,2013-02-22_08_20_02
277,308,150,13,281,137,281,163,334,163,334,137,2013-02-22_08_20_02
278,278,122,14,254,110,254,134,302,134,302,110,2013-02-22_08_20_02
279,197,92,19,173,80,173,103,220,103,220,80,2013-02-22_08_20_02
280,178,69,17,156,55,156,82,201,82,201,55,2013-02-22_08_20_02
281,238,76,7,216,65,216,87,259,87,259,65,2013-02-22_08_20_02
282,227,57,9,205,48,205,67,250,67,250,48,2013-02-22_08_20_02
283,170,53,6,149,41,149,64,190,64,190,41,2013-02-22_08_20_02
284,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_08_25_02
285,340,296,11,303,270,303,321,378,321,378,270,2013-02-22_08_25_02
286,317,325,20,286,304,286,346,348,346,348,304,2013-02-22_08_25_02
287,295,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_25_02
288,222,137,12,194,122,194,153,251,153,251,122,2013-02-22_08_25_02
289,365,218,8,329,199,329,238,401,238,401,199,2013-02-22_08_25_02
290,265,207,16,233,190,233,223,298,223,298,190,2013-02-22_08_25_02
291,324,180,10,294,163,294,197,354,197,354,163,2013-02-22_08_25_02
292,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_08_25_02
293,213,115,3,189,102,189,128,237,128,237,102,2013-02-22_08_25_02
294,257,100,5,233,88,233,112,281,112,281,88,2013-02-22_08_25_02
295,278,122,14,253,110,253,134,302,134,302,110,2013-02-22_08_25_02
296,307,150,13,281,137,281,163,334,163,334,137,2013-02-22_08_25_02
297,196,91,19,173,81,173,102,219,102,219,81,2013-02-22_08_25_02
298,178,68,17,156,55,156,81,200,81,200,55,2013-02-22_08_25_02
299,236,76,7,212,65,212,87,260,87,260,65,2013-02-22_08_25_02
300,170,53,6,149,41,149,64,190,64,190,41,2013-02-22_08_25_02
301,227,57,9,204,48,204,66,250,66,250,48,2013-02-22_08_25_02
302,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_08_30_02
303,340,296,11,303,270,303,322,378,322,378,270,2013-02-22_08_30_02
304,317,325,20,286,304,286,346,348,346,348,304,2013-02-22_08_30_02
305,295,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_30_02
306,222,138,12,194,122,194,153,251,153,251,122,2013-02-22_08_30_02
307,213,115,3,188,103,188,128,237,128,237,103,2013-02-22_08_30_02
308,365,218,8,329,199,329,238,401,238,401,199,2013-02-22_08_30_02
309,265,207,16,232,190,232,223,298,223,298,190,2013-02-22_08_30_02
310,324,180,10,294,164,294,197,354,197,354,164,2013-02-22_08_30_02
311,259,169,0,220,153,220,185,299,185,299,153,2013-02-22_08_30_02
312,257,100,5,233,88,233,112,281,112,281,88,2013-02-22_08_30_02
313,278,122,14,253,110,253,134,302,134,302,110,2013-02-22_08_30_02
314,308,150,13,281,137,281,164,334,164,334,137,2013-02-22_08_30_02
315,196,92,19,173,80,173,103,220,103,220,80,2013-02-22_08_30_02
316,178,69,17,156,56,156,82,200,82,200,56,2013-02-22_08_30_02
317,238,76,7,217,65,217,87,259,87,259,65,2013-02-22_08_30_02
318,170,52,6,149,41,149,64,191,64,191,41,2013-02-22_08_30_02
319,227,57,9,204,48,204,67,250,67,250,48,2013-02-22_08_30_02
320,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_08_35_02
321,317,325,20,286,304,286,346,348,346,348,304,2013-02-22_08_35_02
322,340,296,11,302,270,302,322,378,322,378,270,2013-02-22_08_35_02
323,295,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_35_02
324,222,138,12,194,122,194,153,250,153,250,122,2013-02-22_08_35_02
325,266,207,16,232,190,232,223,299,223,299,190,2013-02-22_08_35_02
326,365,218,8,329,199,329,238,401,238,401,199,2013-02-22_08_35_02
327,213,115,3,188,103,188,127,237,127,237,103,2013-02-22_08_35_02
328,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_08_35_02
329,324,180,10,293,164,293,197,354,197,354,164,2013-02-22_08_35_02
330,257,100,5,233,88,233,112,280,112,280,88,2013-02-22_08_35_02
331,277,122,14,253,110,253,134,302,134,302,110,2013-02-22_08_35_02
332,308,150,13,281,137,281,164,334,164,334,137,2013-02-22_08_35_02
333,196,92,19,173,81,173,103,219,103,219,81,2013-02-22_08_35_02
334,178,69,17,156,56,156,82,200,82,200,56,2013-02-22_08_35_02
335,238,76,7,216,65,216,87,260,87,260,65,2013-02-22_08_35_02
336,170,53,6,149,41,149,64,190,64,190,41,2013-02-22_08_35_02
337,227,58,9,204,48,204,67,250,67,250,48,2013-02-22_08_35_02
338,392,264,4,354,242,354,286,431,286,431,242,2013-02-22_08_40_02
339,340,297,11,303,271,303,323,378,323,378,271,2013-02-22_08_40_02
340,317,325,20,286,304,286,346,347,346,347,304,2013-02-22_08_40_02
341,295,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_40_02
342,222,138,12,194,122,194,153,250,153,250,122,2013-02-22_08_40_02
343,365,219,8,329,199,329,238,401,238,401,199,2013-02-22_08_40_02
344,213,115,3,188,103,188,128,237,128,237,103,2013-02-22_08_40_02
345,265,206,16,232,190,232,223,298,223,298,190,2013-02-22_08_40_02
346,259,169,0,219,154,219,185,300,185,300,154,2013-02-22_08_40_02
347,324,180,10,294,164,294,197,354,197,354,164,2013-02-22_08_40_02
348,257,100,5,233,88,233,112,281,112,281,88,2013-02-22_08_40_02
349,278,122,14,253,110,253,134,302,134,302,110,2013-02-22_08_40_02
350,308,150,13,282,136,282,164,334,164,334,136,2013-02-22_08_40_02
351,196,92,19,173,81,173,103,219,103,219,81,2013-02-22_08_40_02
352,178,68,17,156,55,156,81,200,81,200,55,2013-02-22_08_40_02
353,238,76,7,217,65,217,87,260,87,260,65,2013-02-22_08_40_02
354,170,53,6,149,41,149,64,190,64,190,41,2013-02-22_08_40_02
355,227,58,9,205,49,205,67,249,67,249,49,2013-02-22_08_40_02
356,392,264,4,354,241,354,286,431,286,431,241,2013-02-22_08_45_02
357,340,296,11,303,271,303,322,378,322,378,271,2013-02-22_08_45_02
358,317,325,20,286,304,286,346,348,346,348,304,2013-02-22_08_45_02
359,295,243,18,264,223,264,263,325,263,325,223,2013-02-22_08_45_02
360,222,138,12,194,122,194,153,249,153,249,122,2013-02-22_08_45_02
361,259,169,0,219,153,219,185,299,185,299,153,2013-02-22_08_45_02
362,365,219,8,329,199,329,238,401,238,401,199,2013-02-22_08_45_02
363,265,206,16,232,190,232,223,298,223,298,190,2013-02-22_08_45_02
364,213,115,3,188,103,188,128,238,128,238,103,2013-02-22_08_45_02
365,324,180,10,294,164,294,197,354,197,354,164,2013-02-22_08_45_02
366,278,122,14,254,110,254,134,302,134,302,110,2013-02-22_08_45_02
367,257,100,5,233,88,233,112,281,112,281,88,2013-02-22_08_45_02
368,308,150,13,281,137,281,164,334,164,334,137,2013-02-22_08_45_02
369,196,92,19,173,81,173,103,219,103,219,81,2013-02-22_08_45_02
370,179,69,17,157,56,157,82,202,82,202,56,2013-02-22_08_45_02
371,238,76,7,216,65,216,87,260,87,260,65,2013-02-22_08_45_02
372,169,52,6,149,41,149,64,189,64,189,41,2013-02-22_08_45_02
373,227,58,9,205,48,205,67,250,67,250,48,2013-02-22_08_45_02
374,392,264,4,354,242,354,285,431,285,431,242,2013-02-22_08_50_02
